BODY,STOPWORDS,LEMMATIZED,STEMMED,BIGRAMS,TRIGRAMS
very professional office visit was streamlined,very professional office visit was streamlined,very professional office visit be streamline,veri profession offic visit be streamlin,"('veri', 'profession'), ('profession', 'offic'), ('offic', 'visit'), ('visit', 'be'), ('be', 'streamlin')","('veri', 'profession', 'offic'), ('profession', 'offic', 'visit'), ('offic', 'visit', 'be'), ('visit', 'be', 'streamlin')"
very professional office visit was streamlined,very professional office visit was streamlined,very professional office visit be streamline,veri profession offic visit be streamlin,"('veri', 'profession'), ('profession', 'offic'), ('offic', 'visit'), ('visit', 'be'), ('be', 'streamlin')","('veri', 'profession', 'offic'), ('profession', 'offic', 'visit'), ('offic', 'visit', 'be'), ('visit', 'be', 'streamlin')"
very quick and efficient,very quick and efficient,very quick and efficient,veri quick and effici,"('veri', 'quick'), ('quick', 'and'), ('and', 'effici')","('veri', 'quick', 'and'), ('quick', 'and', 'effici')"
my experience with advanced radiology over the years has been positive seems to be a well run company i can't say that about a lot of companies these days,my experience with advanced radiology over the years has been positive seems to be a well run company i can't say that about a lot of companies these days,my experience with advanced radiology over the year have be positive seem to be a well run company I can not say that about a lot of company these day,my experi with advanc radiolog over the year have be posit seem to be a well run compani i can not say that about a lot of compani these day,"('my', 'experi'), ('experi', 'with'), ('with', 'advanc'), ('advanc', 'radiolog'), ('radiolog', 'over'), ('over', 'the'), ('the', 'year'), ('year', 'have'), ('have', 'be'), ('be', 'posit'), ('posit', 'seem'), ('seem', 'to'), ('to', 'be'), ('be', 'a'), ('a', 'well'), ('well', 'run'), ('run', 'compani'), ('compani', 'i'), ('i', 'can'), ('can', 'not'), ('not', 'say'), ('say', 'that'), ('that', 'about'), ('about', 'a'), ('a', 'lot'), ('lot', 'of'), ('of', 'compani'), ('compani', 'these'), ('these', 'day')","('my', 'experi', 'with'), ('experi', 'with', 'advanc'), ('with', 'advanc', 'radiolog'), ('advanc', 'radiolog', 'over'), ('radiolog', 'over', 'the'), ('over', 'the', 'year'), ('the', 'year', 'have'), ('year', 'have', 'be'), ('have', 'be', 'posit'), ('be', 'posit', 'seem'), ('posit', 'seem', 'to'), ('seem', 'to', 'be'), ('to', 'be', 'a'), ('be', 'a', 'well'), ('a', 'well', 'run'), ('well', 'run', 'compani'), ('run', 'compani', 'i'), ('compani', 'i', 'can'), ('i', 'can', 'not'), ('can', 'not', 'say'), ('not', 'say', 'that'), ('say', 'that', 'about'), ('that', 'about', 'a'), ('about', 'a', 'lot'), ('a', 'lot', 'of'), ('lot', 'of', 'compani'), ('of', 'compani', 'these'), ('compani', 'these', 'day')"
the staff members are incredibly sweet and courteous the friendliness at this establishment is amazing i love going there and mammograms arent exactly what people enjoy going to but this place helps make it a better more positive experience,the staff members are incredibly sweet and courteous the friendliness at this establishment is amazing i love going there and mammograms arent exactly what people enjoy going to but this place helps make it a better more positive experience,the staff member be incredibly sweet and courteous the friendliness at this establishment be amazing I love go there and mammogram be not exactly what people enjoy go to but this place help make it a well more positive experience,the staff member be incred sweet and courteous the friendli at this establish be amaz i love go there and mammogram be not exact what peopl enjoy go to but this place help make it a well more posit experi,"('the', 'staff'), ('staff', 'member'), ('member', 'be'), ('be', 'incred'), ('incred', 'sweet'), ('sweet', 'and'), ('and', 'courteous'), ('courteous', 'the'), ('the', 'friendli'), ('friendli', 'at'), ('at', 'this'), ('this', 'establish'), ('establish', 'be'), ('be', 'amaz'), ('amaz', 'i'), ('i', 'love'), ('love', 'go'), ('go', 'there'), ('there', 'and'), ('and', 'mammogram'), ('mammogram', 'be'), ('be', 'not'), ('not', 'exact'), ('exact', 'what'), ('what', 'peopl'), ('peopl', 'enjoy'), ('enjoy', 'go'), ('go', 'to'), ('to', 'but'), ('but', 'this'), ('this', 'place'), ('place', 'help'), ('help', 'make'), ('make', 'it'), ('it', 'a'), ('a', 'well'), ('well', 'more'), ('more', 'posit'), ('posit', 'experi')","('the', 'staff', 'member'), ('staff', 'member', 'be'), ('member', 'be', 'incred'), ('be', 'incred', 'sweet'), ('incred', 'sweet', 'and'), ('sweet', 'and', 'courteous'), ('and', 'courteous', 'the'), ('courteous', 'the', 'friendli'), ('the', 'friendli', 'at'), ('friendli', 'at', 'this'), ('at', 'this', 'establish'), ('this', 'establish', 'be'), ('establish', 'be', 'amaz'), ('be', 'amaz', 'i'), ('amaz', 'i', 'love'), ('i', 'love', 'go'), ('love', 'go', 'there'), ('go', 'there', 'and'), ('there', 'and', 'mammogram'), ('and', 'mammogram', 'be'), ('mammogram', 'be', 'not'), ('be', 'not', 'exact'), ('not', 'exact', 'what'), ('exact', 'what', 'peopl'), ('what', 'peopl', 'enjoy'), ('peopl', 'enjoy', 'go'), ('enjoy', 'go', 'to'), ('go', 'to', 'but'), ('to', 'but', 'this'), ('but', 'this', 'place'), ('this', 'place', 'help'), ('place', 'help', 'make'), ('help', 'make', 'it'), ('make', 'it', 'a'), ('it', 'a', 'well'), ('a', 'well', 'more'), ('well', 'more', 'posit'), ('more', 'posit', 'experi')"
i was very satisfied with the service i received,i was very satisfied with the service i received,I be very satisfied with the service I receive,i be veri satisfi with the servic i receiv,"('i', 'be'), ('be', 'veri'), ('veri', 'satisfi'), ('satisfi', 'with'), ('with', 'the'), ('the', 'servic'), ('servic', 'i'), ('i', 'receiv')","('i', 'be', 'veri'), ('be', 'veri', 'satisfi'), ('veri', 'satisfi', 'with'), ('satisfi', 'with', 'the'), ('with', 'the', 'servic'), ('the', 'servic', 'i'), ('servic', 'i', 'receiv')"
it is a pleasure to be under your care very good experience,it is a pleasure to be under your care very good experience,it be a pleasure to be under your care very good experience,it be a pleasur to be under your care veri good experi,"('it', 'be'), ('be', 'a'), ('a', 'pleasur'), ('pleasur', 'to'), ('to', 'be'), ('be', 'under'), ('under', 'your'), ('your', 'care'), ('care', 'veri'), ('veri', 'good'), ('good', 'experi')","('it', 'be', 'a'), ('be', 'a', 'pleasur'), ('a', 'pleasur', 'to'), ('pleasur', 'to', 'be'), ('to', 'be', 'under'), ('be', 'under', 'your'), ('under', 'your', 'care'), ('your', 'care', 'veri'), ('care', 'veri', 'good'), ('veri', 'good', 'experi')"
staff was very kind caring with my disability,staff was very kind caring with my disability,staff be very kind care with my disability,staff be veri kind care with my disabl,"('staff', 'be'), ('be', 'veri'), ('veri', 'kind'), ('kind', 'care'), ('care', 'with'), ('with', 'my'), ('my', 'disabl')","('staff', 'be', 'veri'), ('be', 'veri', 'kind'), ('veri', 'kind', 'care'), ('kind', 'care', 'with'), ('care', 'with', 'my'), ('with', 'my', 'disabl')"
all the technicians and dr at this facility always make a very unnerving experience a breeze,all the technicians and dr at this facility always make a very unnerving experience a breeze,all the technician and dr at this facility always make a very unnerving experience a breeze,all the technician and dr at this facil alway make a veri unnerv experi a breez,"('all', 'the'), ('the', 'technician'), ('technician', 'and'), ('and', 'dr'), ('dr', 'at'), ('at', 'this'), ('this', 'facil'), ('facil', 'alway'), ('alway', 'make'), ('make', 'a'), ('a', 'veri'), ('veri', 'unnerv'), ('unnerv', 'experi'), ('experi', 'a'), ('a', 'breez')","('all', 'the', 'technician'), ('the', 'technician', 'and'), ('technician', 'and', 'dr'), ('and', 'dr', 'at'), ('dr', 'at', 'this'), ('at', 'this', 'facil'), ('this', 'facil', 'alway'), ('facil', 'alway', 'make'), ('alway', 'make', 'a'), ('make', 'a', 'veri'), ('a', 'veri', 'unnerv'), ('veri', 'unnerv', 'experi'), ('unnerv', 'experi', 'a'), ('experi', 'a', 'breez')"
tami was friendly and compassionate,tami was friendly and compassionate,tami be friendly and compassionate,tami be friend and compassion,"('tami', 'be'), ('be', 'friend'), ('friend', 'and'), ('and', 'compassion')","('tami', 'be', 'friend'), ('be', 'friend', 'and'), ('friend', 'and', 'compassion')"
great experience love the evening hours the receptionist and technologist were extremely friendly,great experience love the evening hours the receptionist and technologist were extremely friendly,great experience love the evening hour the receptionist and technologist be extremely friendly,great experi love the even hour the receptionist and technologist be extrem friend,"('great', 'experi'), ('experi', 'love'), ('love', 'the'), ('the', 'even'), ('even', 'hour'), ('hour', 'the'), ('the', 'receptionist'), ('receptionist', 'and'), ('and', 'technologist'), ('technologist', 'be'), ('be', 'extrem'), ('extrem', 'friend')","('great', 'experi', 'love'), ('experi', 'love', 'the'), ('love', 'the', 'even'), ('the', 'even', 'hour'), ('even', 'hour', 'the'), ('hour', 'the', 'receptionist'), ('the', 'receptionist', 'and'), ('receptionist', 'and', 'technologist'), ('and', 'technologist', 'be'), ('technologist', 'be', 'extrem'), ('be', 'extrem', 'friend')"
i have done the mammogramultrasound before this staff was very respectful and kind there was very little wait in the process staff listened to my concerns and addressed any questions i had,i have done the mammogramultrasound before this staff was very respectful and kind there was very little wait in the process staff listened to my concerns and addressed any questions i had,I have do the mammogramultrasound before this staff be very respectful and kind there be very little wait in the process staff listen to my concern and address any question I have,i have do the mammogramultrasound befor this staff be veri respect and kind there be veri littl wait in the process staff listen to my concern and address ani question i have,"('i', 'have'), ('have', 'do'), ('do', 'the'), ('the', 'mammogramultrasound'), ('mammogramultrasound', 'befor'), ('befor', 'this'), ('this', 'staff'), ('staff', 'be'), ('be', 'veri'), ('veri', 'respect'), ('respect', 'and'), ('and', 'kind'), ('kind', 'there'), ('there', 'be'), ('be', 'veri'), ('veri', 'littl'), ('littl', 'wait'), ('wait', 'in'), ('in', 'the'), ('the', 'process'), ('process', 'staff'), ('staff', 'listen'), ('listen', 'to'), ('to', 'my'), ('my', 'concern'), ('concern', 'and'), ('and', 'address'), ('address', 'ani'), ('ani', 'question'), ('question', 'i'), ('i', 'have')","('i', 'have', 'do'), ('have', 'do', 'the'), ('do', 'the', 'mammogramultrasound'), ('the', 'mammogramultrasound', 'befor'), ('mammogramultrasound', 'befor', 'this'), ('befor', 'this', 'staff'), ('this', 'staff', 'be'), ('staff', 'be', 'veri'), ('be', 'veri', 'respect'), ('veri', 'respect', 'and'), ('respect', 'and', 'kind'), ('and', 'kind', 'there'), ('kind', 'there', 'be'), ('there', 'be', 'veri'), ('be', 'veri', 'littl'), ('veri', 'littl', 'wait'), ('littl', 'wait', 'in'), ('wait', 'in', 'the'), ('in', 'the', 'process'), ('the', 'process', 'staff'), ('process', 'staff', 'listen'), ('staff', 'listen', 'to'), ('listen', 'to', 'my'), ('to', 'my', 'concern'), ('my', 'concern', 'and'), ('concern', 'and', 'address'), ('and', 'address', 'ani'), ('address', 'ani', 'question'), ('ani', 'question', 'i'), ('question', 'i', 'have')"
i didnt know when the mri scanning was starting would have been good to know that from the technologist,i didnt know when the mri scanning was starting would have been good to know that from the technologist,I do not know when the mri scanning be start would have be good to know that from the technologist,i do not know when the mri scan be start would have be good to know that from the technologist,"('i', 'do'), ('do', 'not'), ('not', 'know'), ('know', 'when'), ('when', 'the'), ('the', 'mri'), ('mri', 'scan'), ('scan', 'be'), ('be', 'start'), ('start', 'would'), ('would', 'have'), ('have', 'be'), ('be', 'good'), ('good', 'to'), ('to', 'know'), ('know', 'that'), ('that', 'from'), ('from', 'the'), ('the', 'technologist')","('i', 'do', 'not'), ('do', 'not', 'know'), ('not', 'know', 'when'), ('know', 'when', 'the'), ('when', 'the', 'mri'), ('the', 'mri', 'scan'), ('mri', 'scan', 'be'), ('scan', 'be', 'start'), ('be', 'start', 'would'), ('start', 'would', 'have'), ('would', 'have', 'be'), ('have', 'be', 'good'), ('be', 'good', 'to'), ('good', 'to', 'know'), ('to', 'know', 'that'), ('know', 'that', 'from'), ('that', 'from', 'the'), ('from', 'the', 'technologist')"
everyone was very nice and knowledgable,everyone was very nice and knowledgable,everyone be very nice and knowledgable,everyon be veri nice and knowledg,"('everyon', 'be'), ('be', 'veri'), ('veri', 'nice'), ('nice', 'and'), ('and', 'knowledg')","('everyon', 'be', 'veri'), ('be', 'veri', 'nice'), ('veri', 'nice', 'and'), ('nice', 'and', 'knowledg')"
very pleasant experience,very pleasant experience,very pleasant experience,veri pleasant experi,"('veri', 'pleasant'), ('pleasant', 'experi')","('veri', 'pleasant', 'experi')"
my procedure was very good and the staff was wonderful,my procedure was very good and the staff was wonderful,my procedure be very good and the staff be wonderful,my procedur be veri good and the staff be wonder,"('my', 'procedur'), ('procedur', 'be'), ('be', 'veri'), ('veri', 'good'), ('good', 'and'), ('and', 'the'), ('the', 'staff'), ('staff', 'be'), ('be', 'wonder')","('my', 'procedur', 'be'), ('procedur', 'be', 'veri'), ('be', 'veri', 'good'), ('veri', 'good', 'and'), ('good', 'and', 'the'), ('and', 'the', 'staff'), ('the', 'staff', 'be'), ('staff', 'be', 'wonder')"
quick and efficient visit really fine visit,quick and efficient visit really fine visit,quick and efficient visit really fine visit,quick and effici visit realli fine visit,"('quick', 'and'), ('and', 'effici'), ('effici', 'visit'), ('visit', 'realli'), ('realli', 'fine'), ('fine', 'visit')","('quick', 'and', 'effici'), ('and', 'effici', 'visit'), ('effici', 'visit', 'realli'), ('visit', 'realli', 'fine'), ('realli', 'fine', 'visit')"
